Item ID,Location,Device,Model,Status,Serial Number,Internet,Memory Card,Printer Cover,Notes,EID Number,,
C113,Office,Camera,T7,In Stock,412075050332,N/A,Yes,N/A,,,,
C115,Ella,Camera,T7,In Booth,412075050394,N/A,Yes,N/A,,,,
C116,Steve (LA),Camera,T7,In Booth,412075050390,N/A,Yes,N/A,,,,
C112,Office,Camera,R100,In Stock,182031000470,N/A,Yes,N/A,,,,
C117,Office,Camera,R8,In Stock,272022006099,N/A,Yes,N/A,,,,
C118,Office,Camera,T6,In Stock,342073011593,No,Yes,N/A,,,,
C122,Office,Camera,T6,In Stock,4402074039239,N/A,Yes,N/A,"giving ella problems, needs tested before it goes back out",,,
HS103,Office,Hot Spot,Mifi,In Stock,MiFi,Yes,N/A,N/A,not connect to Inseego Ap,,,
HS106,Nashville,Hot Spot,Mifi,In Booth,990018891815239,Yes,N/A,N/A,,8901260408776807399F,,
HS107,Steve (LA),Hot Spot,Mifi,In Booth,990018891773834,Yes,N/A,N/A,"6/9/25: 264.6 down, 6.8 up",8901260418747588671F,,
HS104,Office,Hot Spot,Mifi,In Stock,990018891815205,Yes,N/A,N/A,,8901260408776809866F,,
F103,Office,Flash,DB800,In Stock,DB08006376,N/A,N/A,N/A,"Gave Ella problems, needs tested before it goes back out",,,
HS108,Office,Hot Spot,Mifi,In Stock,990018891773776,Yes,N/A,N/A,"6/9/25: 241.2 down, 3.8 up",8901260418747588945F,,
HS105,Office,Hot Spot,Mifi,In Stock,990018891806840,Yes,N/A,N/A,,89001260408776807555F,,Hotspot Mobiles
F104,Office,Flash,DB400,In Stock,REPL100293,N/A,N/A,N/A,,,,4406230159
F105,Office,Flash,DB800,In Stock,DB08011935,N/A,N/A,N/A,,,,4406231706
F108,Office,Flash,DB800,In Stock,DB08011933,N/A,N/A,N/A,,,,4406746587
F109,Office,Flash,DB400,In Stock,DB04010939,N/A,N/A,N/A,,,,4406746607
F110,Ella,Flash,DB800,In Booth,DB08011720,N/A,N/A,N/A,,,,4406875419
F111,Nashville,Flash,MS300,In Booth,N/A,N/A,N/A,N/A,,,,4406875466
F112,Office,Flash,MS300,In Stock,unknown,N/A,N/A,N/A,,,,4407492216
F113,Office,Flash,MS300,In Stock,unknown,N/A,N/A,N/A,,,,4407492341
HS101,Office,Hot Spot,Mifi,In Stock,MiFi,Yes,N/A,N/A,not connect to Inseego Ap,,,4407670509
HS102,Office,Hot Spot,Mifi,In Stock,MiFi,Yes,N/A,N/A,"6-9-25: 180.1 down, 4.31 up (not connect to Inseego Ap)",,,4407670513
HS114,Office,Hot Spot,Mifi,In Stock,990018891761292,Yes,N/A,N/A,"6/9/25: 288.3 down, 0.51 up (from Anthony's house)",8901260418722987021F,,
HS111,Office,Hot Spot,Mifi,In Stock,990018891774113,Yes,N/A,N/A,"6/9/25: 214.0 down, 10.0 up",8901260418747589174F,,
HS110,Ella,Hot Spot,Mifi,In Booth,990018891773727,Yes,N/A,N/A,"6/9/25: 240.4 down, 5.7 up",8901260418747585974F,,
HS112,Office,Hot Spot,Mifi,In Stock,990018891730313,Yes,N/A,N/A,"6/9/25: 230.5 down, 4.9 up",8901260418722986873F,,
HS113,Office,Hot Spot,Mifi,In Stock,990018891761250,Yes,N/A,N/A,"6/9/25: 348.8 down, 6.3 up",8901260418722987013F,,
HS115,Office,Hot Spot,Mifi,In Stock,990018891726998,Yes,N/A,N/A,"6/9/25: 206.9 down, 4.4 up",8901260418747595098F,,
IPAD105,Steve (LA),iPad,"10.5""",In Booth,CFW63K37WK,Yes,N/A,N/A,440-902-0977,89049032007008882600124951963892,,
IPAD102,Office,iPad,"10.5""",In Stock,JL3JDYPH0,Yes,N/A,N/A,440-902-0984,89049032007008882600125002146066,,
HS116,Imani,Hot Spot,Mifi,In Booth,990018891730271,Yes,N/A,N/A,"6/9/25: 254.3 down, 7.4 up",8901260418722986965F,,
IPAD103,Office,iPad,"10.5""",In Stock,LQYFLX9K60,Yes,N/A,N/A,440-902-0987,89049032007008882600124951900260,,
IPAD107,Office,iPad,"10.5""",In Stock,GWWW4KQDWY,Yes,N/A,N/A,440-902-1179,89049032007008882600125002012012,,
IPAD101,Office,iPad,"10.5""",In Stock,KN4HN9K0X0,Yes,N/A,N/A,,89049032007008882600125161895269,,
HS109,Office,Hot Spot,Mifi,In Stock,990018891720652,Yes,N/A,N/A,"6/9/25: 271.6 down, 2.4 up",8901260418747588440F,,
IPAD109,Office,iPad,"10.5""",In Stock,HC7GDH20TQ,Yes,N/A,N/A,,89049032007008882600125002643385,,
S106,Steve (LA),Server,HP,In Booth,SCG1374R4L,N/A,N/A,N/A,"Alejandro came in on 5-19-25 to have printer/ server tested, everything tested fine and is in good working ocndition",,,
IPAD118,Office,iPad,"10.5""",In Stock,DQ0P9YGWR1,Yes,N/A,N/A,440-453-6309,89049032007008882600126124097051,,
IPAD119,Office,iPad,"10.5""",In Stock,HVKL7NPWC0,Yes,N/A,N/A,logged into Hipstr Apple ID,89049032007008882600126124891287,,
IPAD122,Office,iPad,"10.5""",In Stock,N/A,Yes,No,N/A,,,,
IPAD124,Nashville,iPad,"10.5""",In Booth,DMQDCABBMF3Q,No,N/A,N/A,,,,
IPAD120,Office,iPad,"10.5""",In Stock,X2QQKKF61F,No,N/A,N/A,NO SERVICE,N/A,,
IPAD117,TRASH,iPad,,In Stock,unknown,,N/A,N/A,locked,unknown,,
PH101,Office,iPhone,16 Pro,In Stock,F2PY92F6Q0,Yes,N/A,N/A,phone number - 440-360-0677,89049032007408885200217364379232,,
P101,Office,Printer,DS620,In Stock,DS6X57006781,N/A,N/A,Black,"Alejandro came in on 5-19-25 to have printer/ server tested, everything tested fine and is in good working ocndition",,,
IPAD123,Office,iPad,"10.5""",In Stock,DMQDCAMLMF3Q,No,N/A,N/A,,N/A,,
P103,Office,Printer,DS620,In Stock,DS6X68014601,N/A,N/A,Black,,,,
IPAD121,Ella,iPad,"10.5""",In Booth,DMQDCE6MMF3Q,No,N/A,N/A,,,,
P104,Ella,Printer,DS620,In Booth,,N/A,N/A,Black,,,,
P107,Office,Printer,DS620,In Stock,DS6C91022225,N/A,N/A,N/A,90 DAY WARRANTY ON REPAIR,,,
P110,Office,Printer,Mosaic,In Stock,U24F020792,N/A,N/A,N/A,,,,
S107,Office,Server,Surface Pro,In Stock,016545792553,N/A,N/A,N/A,Might've fried at Veda's event; needs checked before it goes out,,,
P113,TRASH,Printer,RX1,In Booth,CY2C76019880,N/A,N/A,N/A,,,,
P114,Office,Printer,DS40,In Stock,DS4Y37045987,N/A,N/A,N/A,,,,
P112,Office,Printer,DS40,In Stock,DS4Y3B055152,N/A,N/A,N/A,,,,
S108,Office,Server,Surface Pro,In Stock,013329392653,N/A,N/A,N/A,,,,
P117,Office,Printer,DS80,In Stock,DS8X04005810,N/A,N/A,N/A,,,,
RL101,Office,Ring Light,U200 (Square),In Stock,,N/A,N/A,N/A,,,,
S103,Nashville,Server,Acer,In Booth,NXHG5AA0019191D7A37600,N/A,N/A,N/A,,,,
P111,Office,Printer,Mosaic,In Stock,U24F021538,N/A,N/A,N/A,"Has issues, works sometimes",,,
P116,Imani,Printer,DS40,In Booth,DS4X03014150,N/A,N/A,N/A,,,,
RL102,Office,Ring Light,LG-R320C (Round),In Stock,00240351523501499,N/A,N/A,N/A,,,,
RL103,Office,Ring Light,U200 (Square),In Stock,,N/A,N/A,N/A,,,,
S101 - Array,Office,Server,Lenovo,In Stock,R912BA9Y,N/A,N/A,N/A,,,,
S102,Office,Server,Acer,In Stock,W0I111700V502D2A6C7206,N/A,N/A,N/A,Fried?,,,
S104,Office,Server,Lenovo,In Stock,YD04FYB6,N/A,N/A,N/A,,,,
P119,Nashville,Printer,QW410,In Booth,QW4C08006449,N/A,N/A,N/A,,,,
C110,Ashley,Camera,T6,In Booth,332073032583,N/A,Yes,N/A,,,,
C102,Office,Camera,R100,In Stock,162031006479,N/A,Yes,N/A,,,,
B117,Office,Battery Pack,360 Battery,In Stock,BP-95,N/A,N/A,N/A,,,,
IPAD110,Bridgette,iPad,"10.5""",In Booth,J60TJN62VW,Yes,N/A,N/A,won't connect to Orca,89049032007008882600125002458309,,
IPAD112,Office,iPad,"10.5""",In Stock,Q5PHPWNWTN,No,N/A,N/A,WON'T CONNECT,N/A,,
IPAD113,Office,iPad,"10.5""",In Stock,DF6CVF2X17,Yes,N/A,N/A,440-453-5294,89049032007008882600126124868492,,
IPAD115,Imani,iPad,"10.5""",In Booth,JJG92WRHYH,Yes,N/A,N/A,"won't hard-wire to printer, but cell service works",89049032007008882600126051277017,,
F101,Office,Flash,DB400,In Stock,DB04008413,N/A,N/A,N/A,,,,
F102,Bridgette,Flash,DB400,In Booth,DB04010938,N/A,N/A,N/A,Recently fixed,,,
P106,Office,Printer,DS620,In Stock,DS6X6A018167,N/A,N/A,White,,,,
S109,Office,Server,ASUS,In Stock,S6N0CX005197226,N/A,N/A,N/A,,,,
S110 - Mosaic,Office,Server,Lenovo,In Stock,MP1G451B,N/A,N/A,N/A,,,,
S111,Office,Server,Mini PC,In Stock,P0250515005MA-300159,N/A,N/A,N/A,,,,
WS1,Office,Backdrop,White Sequin,In Stock,N/A,N/A,N/A,N/A,,,,
BD103,Office,Backdrop Frame,8x8,In Stock,N/A,N/A,N/A,N/A,NO FABRIC IN CASE,,,
OS1,Ella,Backdrop,Onyx Sequin,In Booth,N/A,N/A,N/A,N/A,,,,
WS2,Office,Backdrop,Opal Sequin,In Stock,N/A,N/A,N/A,N/A,,,,
BD105,Office,Backdrop Frame,8x8,In Stock,N/A,N/A,N/A,N/A,,,,
BD102,Office,Backdrop Frame,8x8,In Stock,N/A,N/A,N/A,N/A,NO FABRIC IN CASE,,,
S112,Office,Server,Mini PC,In Stock,PO250415002MJMXG0396,N/A,,,,,,
S113,Office,Server,Mini PC,In Stock,PO0250415002MJMXG0335,N/A,,,,,,
S114,Imani,Server,Mini PC,In Booth,PO250415002MJMXG0323,N/A,,,,,,
S115,Office,Server,Mini PC,In Stock,PO250415002MJMXG0286,N/A,,,,,,
SS7,Office,Backdrop,Silver Sequin,In Stock,N/A,N/A,N/A,N/A,,,,
S116,Office,Server,Mini PC,In Stock,P0250712003MEMSQ0061,N/A,,,,,,
S118,Ella,Server,Lenovo,In Booth,R912CGDS,N/A,N/A,N/A,,,,
License x6,Office,,,,,,,,,,,
